time_s,voltage_V,current_A,resistance_Ohm
1753108458.131682,22.93000030517578,0.009999999776482582,2293.000081770124
1753108463.1918747,22.934999465942383,0.009999999776482582,2293.499997857958
1753108468.351203,22.913999557495117,-0.23999999463558197,-95.47500029026222
1753108468.5303226,22.909000396728516,-0.23999999463558197,-95.45417045326911
1753108468.69127,22.867000579833984,-0.23000000417232513,-99.42173984788765
1753108468.869715,22.909000396728516,-0.23000000417232513,-99.60434774411648
1753108469.0308769,22.87299919128418,-0.23999999463558197,-95.30416542723151
1753108469.2127652,22.913999557495117,-0.2199999988079071,-104.15454400753185
1753108469.3901236,22.909000396728516,-0.23000000417232513,-99.60434774411648
1753108469.5509636,22.882999420166016,0.009999999776482582,2288.299993164092
1753108469.7301488,22.93000030517578,0.009999999776482582,2293.000081770124
1753108469.9102995,22.93000030517578,0.009999999776482582,2293.000081770124
1753108470.070032,22.88800048828125,-0.009999999776482582,-2288.800099986794
1753108470.2501862,22.93000030517578,-0.009999999776482582,-2293.000081770124
1753108470.409598,22.91900062561035,0.009999999776482582,2291.9001137889945
1753108470.5903716,22.93000030517578,0.0,
1753108470.7704067,22.934999465942383,0.0,
1753108470.9304636,22.882999420166016,-0.009999999776482582,-2288.299993164092
1753108471.1106782,22.934999465942383,-0.009999999776482582,-2293.499997857958
1753108471.270943,22.89299964904785,0.0,
1753108471.4504285,22.93000030517578,-0.009999999776482582,-2293.000081770124
1753108471.6307218,22.93000030517578,0.009999999776482582,2293.000081770124
1753108471.789959,22.91900062561035,0.0,
1753108471.9702225,22.93000030517578,0.0,
1753108472.1505144,22.91900062561035,0.009999999776482582,2291.9001137889945
1753108472.310338,22.88800048828125,-0.019999999552965164,-1144.400049993397
1753108472.4902983,22.93000030517578,0.0,
1753108472.6516547,22.913999557495117,0.009999999776482582,2291.400006966293
1753108472.8293383,22.934999465942383,0.009999999776482582,2293.499997857958
1753108473.0099168,22.93000030517578,-0.009999999776482582,-2293.000081770124
1753108473.1708686,22.89299964904785,0.0,
1753108473.3507128,22.934999465942383,0.0,
1753108473.510461,22.89900016784668,-0.009999999776482582,-2289.900067967923
1753108473.6907108,22.93000030517578,0.0,
1753108473.8724823,22.93000030517578,-0.009999999776482582,-2293.000081770124
1753108474.0304031,22.878000259399414,-0.009999999776482582,-2287.800077076258
1753108474.211933,22.934999465942383,0.0,
1753108474.3697882,22.88800048828125,0.0,
1753108474.550423,22.934999465942383,0.0,
1753108474.7341664,22.934999465942383,-0.009999999776482582,-2293.499997857958
1753108474.890143,22.89299964904785,0.0,
1753108475.0703835,22.93000030517578,-0.009999999776482582,-2293.000081770124
1753108475.2507885,22.93000030517578,0.009999999776482582,2293.000081770124
1753108475.4101737,22.882999420166016,0.0,
1753108475.591527,22.93000030517578,0.0,
1753108475.752958,22.909000396728516,0.009999999776482582,2290.9000908784587
1753108475.932944,22.93000030517578,0.0,
1753108476.1096184,22.93000030517578,0.0,
1753108476.2698457,22.882999420166016,0.009999999776482582,2288.299993164092
1753108476.4500697,22.934999465942383,0.0,
1753108476.611169,22.88800048828125,-0.009999999776482582,-2288.800099986794
1753108476.790391,22.934999465942383,0.009999999776482582,2293.499997857958
1753108476.970465,22.934999465942383,0.009999999776482582,2293.499997857958
1753108477.1297097,22.913999557495117,-0.009999999776482582,-2291.400006966293
1753108477.3106627,22.93000030517578,0.009999999776482582,2293.000081770124
1753108477.4910185,22.934999465942383,-0.009999999776482582,-2293.499997857958
1753108477.6516845,22.88800048828125,-0.009999999776482582,-2288.800099986794
1753108477.8302495,22.93000030517578,0.0,
1753108477.9902127,22.89299964904785,0.009999999776482582,2289.300016074628
1753108478.1706808,22.934999465942383,0.009999999776482582,2293.499997857958
1753108478.2515843,22.93000030517578,0.009999999776482582,2293.000081770124
1753108483.311137,22.93000030517578,0.009999999776482582,2293.000081770124
1753108488.3712268,22.934999465942383,0.009999999776482582,2293.499997857958
1753108493.5309103,22.913999557495117,-0.23999999463558197,-95.47500029026222
1753108493.6905262,22.882999420166016,-0.2199999988079071,-104.01363429163605
1753108493.8707225,22.909000396728516,-0.2199999988079071,-104.13182054937872
1753108494.0303826,22.86199951171875,-0.2199999988079071,-103.91818016181307
1753108494.2123756,22.909000396728516,-0.23999999463558197,-95.45417045326911
1753108494.3900495,22.909000396728516,-0.2199999988079071,-104.13182054937872
1753108494.5524013,22.909000396728516,-0.2199999988079071,-104.13182054937872
1753108494.730972,22.913999557495117,-0.23999999463558197,-95.47500029026222
1753108494.9101398,22.913999557495117,-0.2199999988079071,-104.15454400753185
1753108495.0709276,22.867000579833984,-0.2199999988079071,-103.94091228973276
1753108495.251421,22.90399932861328,-0.2199999988079071,-104.10908842145902
1753108495.4107366,22.87299919128418,-0.2199999988079071,-103.96817870556322
1753108495.5926216,22.909000396728516,-0.23000000417232513,-99.60434774411648
1753108495.7711036,22.909000396728516,-0.2199999988079071,-104.13182054937872
1753108495.9303098,22.87299919128418,-0.23000000417232513,-99.4478207667632
1753108496.1109467,22.913999557495117,-0.23000000417232513,-99.62608322531611
1753108496.2701423,22.851999282836914,-0.23000000417232513,-99.35651681864879
1753108496.4507554,22.913999557495117,-0.2199999988079071,-104.15454400753185
1753108496.6307693,22.909000396728516,-0.23999999463558197,-95.45417045326911
1753108496.7903488,22.89299964904785,-0.23000000417232513,-99.5347792772017
1753108496.9703805,22.909000396728516,-0.23000000417232513,-99.60434774411648
1753108497.1506515,22.909000396728516,-0.23999999463558197,-95.45417045326911
1753108497.309526,22.86199951171875,-0.23999999463558197,-95.25833342801779
1753108497.4930873,22.913999557495117,-0.2199999988079071,-104.15454400753185
1753108497.6517563,22.86199951171875,-0.23000000417232513,-99.39999607386804
1753108497.8319447,22.913999557495117,-0.23000000417232513,-99.62608322531611
1753108498.010806,22.909000396728516,-0.23000000417232513,-99.60434774411648
