Time (s),Current (A),Voltage_Cell1 (V),Voltage_Cell2 (V),Voltage_Cell3 (V),Voltage_Cell4 (V),Voltage_Cell5 (V),Voltage_Cell6 (V),delta_I,delta_U
21.350000000000136,15.688620567321777,3.999035120010376,4.004552841186523,4.004552841186523,4.005035400390625,4.000999927520752,4.00410795211792,nan,nan
21.40000000000009,16.681886672973633,3.9960718154907227,4.001071929931641,4.001071929931641,4.001589775085449,3.998324394226074,4.001216411590576,nan,nan
21.450000000000045,17.674522399902344,3.992074489593506,3.997074604034424,3.9965932369232178,3.99755597114563,3.994110107421875,3.9976651668548584,nan,nan
21.5,18.29350471496582,3.989518880844116,3.994518995285034,3.993518829345703,3.9945566654205322,3.991219997406006,3.9946649074554443,nan,nan
21.549999999999955,18.167272567749023,3.989000082015991,3.9935195446014404,3.9925196170806885,3.993000030517578,3.9894440174102783,3.9934439659118652,nan,nan
21.600000000000136,16.88373374938965,3.990920066833496,3.995880126953125,3.9953601360321045,3.995880126953125,3.9922196865081787,3.9957759380340576,nan,nan
21.65000000000009,13.814553260803223,3.9992313385009766,4.004752159118652,4.004272937774658,4.004272937774658,3.9998726844787598,4.003315448760986,nan,nan
21.700000000000045,9.508000373840332,4.01366662979126,4.019625186920166,4.018624782562256,4.01910400390625,4.015303611755371,4.017974853515625,nan,nan
21.75,6.74669885635376,4.026785373687744,4.033785343170166,4.03326416015625,4.033785343170166,4.031862735748291,4.032420635223389,nan,nan
21.799999999999955,4.922942638397217,4.035826683044434,4.0428266525268555,4.042348384857178,4.042348384857178,4.041536808013916,4.041536808013916,nan,nan
21.850000000000136,3.9117748737335205,4.041432857513428,4.048910617828369,4.047910690307617,4.048388481140137,4.047764301300049,4.047764301300049,nan,nan
21.90000000000009,3.34062123298645,4.044432163238525,4.051954746246338,4.051432132720947,4.051954746246338,4.051323413848877,4.051323413848877,nan,nan
21.950000000000045,2.9640488624572754,4.046953201293945,4.053953170776367,4.053476810455322,4.053476810455322,4.053440093994141,4.053880214691162,nan,nan
22.0,2.709848165512085,4.048473834991455,4.055473804473877,4.054473876953125,4.055422306060791,4.055320739746094,4.054999828338623,nan,nan
22.049999999999955,2.580153703689575,4.049472808837891,4.056946277618408,4.0554728507995605,4.056527137756348,4.057000160217285,4.055439472198486,nan,nan
22.100000000000136,2.477719783782959,4.050000190734863,4.058000087738037,4.056475639343262,4.056475639343262,4.057000160217285,4.056439399719238,nan,nan
22.15000000000009,2.375,4.050949573516846,4.058474540710449,4.057000160217285,4.057000160217285,4.057438373565674,4.057438373565674,nan,nan
22.200000000000045,2.303070545196533,4.051525592803955,4.059000015258789,4.057474613189697,4.057949066162109,4.058438301086426,4.058000087738037,nan,nan
