"/bat_state/current_x","/bat_state/current_y","/bat_state/voltage_x","/bat_state/voltage_y"
-101999.4279,0.009999999776,-101977.1878,22.85199928,
-101999.3469,0.009999999776,-101977.0076,22.91399956,
-101999.3469,0.009999999776,-101976.848,22.86700058,
-101994.2874,0.009999999776,-101976.6677,22.91399956,
-101994.2874,0.009999999776,-101976.4878,22.90399933,
-101989.2275,0.009999999776,-101976.3282,22.86700058,
-101989.2275,0.009999999776,-101976.148,22.93000031,
-101984.0677,-0.2399999946,-101975.9889,22.88299942,
-101984.0677,-0.2399999946,-101975.8082,22.93499947,
-101983.908,-0.2199999988,-101975.6278,22.92499924,
-101983.908,-0.2199999988,-101975.4689,22.90399933,
-101983.7278,-0.2199999988,-101975.2883,22.93000031,
-101983.7278,-0.2199999988,-101975.1077,22.93000031,
-101983.5684,-0.2199999988,-101974.9489,22.88299942,
-101983.5684,-0.2199999988,-101974.7671,22.93000031,
-101983.3862,-0.2399999946,-101974.6089,22.9090004,
-101983.3862,-0.2399999946,-101974.4284,22.93499947,
-101983.2086,-0.2199999988,-101974.2476,22.92499924,
-101983.2086,-0.2199999988,-101974.186,22.87800026,
-101983.0462,-0.2199999988,-101969.1276,22.93000031,
-101983.0462,-0.2199999988,-101964.0644,22.93499947,
-101982.8676,-0.2399999946,-101959.0071,22.93499947,
-101982.8676,-0.2399999946,-101953.9461,22.93000031,
-101982.6885,-0.2199999988,-101948.8877,22.93499947,
-101982.6885,-0.2199999988,-101943.8277,22.93499947,
-101982.5277,-0.2199999988,-101938.7676,22.93000031,
-101982.5277,-0.2199999988,-101933.7068,22.90399933,
-101982.3474,-0.2199999988,-101927.1663,22.89900017,
-101982.3474,-0.2199999988,-101926.9887,22.9090004,
-101982.1879,-0.2199999988,-101926.8084,22.90399933,
-101982.1879,-0.2199999988,-101926.6475,22.85700035,
-101982.0061,-0.2300000042,-101926.4673,22.9090004,
-101982.0061,-0.2300000042,-101926.3078,22.88299942,
-101981.8277,-0.2199999988,-101926.1276,22.90399933,
-101981.8277,-0.2199999988,-101925.9485,22.91900063,
-101981.6682,-0.2300000042,-101925.7877,22.86199951,
-101981.6682,-0.2300000042,-101925.609,22.9090004,
-101981.4877,-0.2300000042,-101925.4464,22.86700058,
-101981.4877,-0.2300000042,-101925.2676,22.91399956,
-101981.3285,-0.2300000042,-101925.0873,22.9090004,
-101981.3285,-0.2300000042,-101924.9277,22.87299919,
-101981.1481,-0.2199999988,-101924.7485,22.91399956,
-101981.1481,-0.2199999988,-101924.5863,22.88299942,
-101980.9678,-0.2399999946,-101924.4076,22.90399933,
-101980.9678,-0.2399999946,-101924.2283,22.9090004,
-101980.8085,-0.2300000042,-101924.0685,22.89900017,
-101980.8085,-0.2300000042,-101923.8884,22.9090004,
-101980.6282,-0.2300000042,-101923.7078,22.91399956,
-101980.6282,-0.2300000042,-101923.5485,22.8409996,
-101980.4479,-0.2399999946,-101923.3678,22.9090004,
-101980.4479,-0.2399999946,-101923.2086,22.86199951,
-101980.2891,-0.2399999946,-101923.0282,22.91399956,
-101980.2891,-0.2399999946,-101922.846,22.9090004,
-101980.1056,-0.2199999988,-101922.6883,22.83600044,
-101980.1056,-0.2199999988,-101922.5081,22.9090004,
-101979.9469,-0.2300000042,-101922.3276,22.90399933,
-101979.9469,-0.2300000042,-101922.1684,22.86700058,
